港台频道,#genre#
寰宇新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
TVB星河,http://php.jdshipin.com:8880/smt.php
中天综合,http://150.138.77.132:10037/xxw/Smartv.php
凤凰中文,https://stream1.freetv.fun/fe3d3346f748e4ec230691be958aff27e91c225b43b5855685cd1fbe79c56f60.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
东森新闻,http://150.138.77.132:10037/xxw/Smartv.php
凤凰香港,http://cdn3.132.us.kg/live/fhhk/stream.m3u8
中天综合,http://lzoq.serv00.net/daili/Smartv.php
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-2.m3u8
凤凰资讯,http://150.138.77.132:10037/xxw/Smartv.php
凤凰资讯,https://stream1.freetv.fun/bfd140266f0bc1d9689c8cca261521038b45d662a160a3785d45d074b26899c2.m3u8
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-5.ctv
民视,http://kkk.jjjj.jiduo.me/api.php
TVB星河,http://php.jdshipin.com/TVOD/iptv.php
东森新闻,http://lzoq.serv00.net/daili/Smartv.php
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-9.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-1.m3u8
凤凰资讯,http://lzoq.serv00.net/daili/Smartv.php
凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
TVBS新闻,http://185.243.7.13:80/play/live.php
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
澳门莲花,http://nettvpro.live/hls/lotustv.php
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-23.ctv
中视新闻,http://150.138.77.132:10037/xxw/Smartv.php
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-25.ctv
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-1.m3u8
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-21.ctv
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-18.m3u8
中视新闻,https://stream1.freetv.fun/zhong-shi-xin-wen-5.ctv
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-3.m3u8
民视,http://37.27.111.214:8080/live/6/hls.m3u8
中视新闻,http://lzoq.serv00.net/daili/Smartv.php
凤凰香港,http://php.jdshipin.com/PLTV/iptv.php
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-20.ctv
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-12.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
翡翠台,http://r.jdshipin.com/n90gt
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-6.ctv
非凡新闻,http://150.138.77.132:10037/xxw/Smartv.php
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php
澳门莲花,http://php.jdshipin.com/amlh.php
TVB星河,http://185.243.7.13:80/play/live.php
翡翠台,http://r.jdshipin.com/62WM7
凤凰中文,https://stream1.freetv.fun/2b657a181daa345025199e7d6b8de95a1a87b19abceafbd16e2499a49da33c6f.m3u8
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-20.m3u8
凤凰香港,https://epg.pw/stream/5f16dc7fc8aaaed3205516c63e4a8c24bca9dbba1181684244729cf574505b0e.m3u8
非凡新闻,http://lzoq.serv00.net/daili/Smartv.php
华视新闻,http://37.27.111.214:8080/live/8/hls.m3u8
中天娱乐,http://150.138.77.132:10037/xxw/Smartv.php
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-2.ctv
澳门莲花,http://kkk.jjjj.jiduo.me/api.php
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-1.m3u8
翡翠台,https://cdn.iptv8k.top/dl/jrys.php
凤凰中文,https://stream1.freetv.fun/91dffd2dca60b65821a94747f2f3020dfc9642bb89f86ed7fa6d8b0b7487c5d2.m3u8
凤凰中文,http://r.jdshipin.com/cCCzW
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-7.m3u8
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-3.ctv
中天娱乐,http://lzoq.serv00.net/daili/Smartv.php
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
TVB星河,http://php.jdshipin.com/smt.php
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php
民视,https://stream1.freetv.fun/min-shi-2.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
翡翠台,http://kkk.jjjj.jiduo.me/api.php
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-15.ctv
凤凰香港,https://stream1.freetv.fun/8770e89223a086eb1b8a0c931e42296d772a8069ad3eb72540e0c434e7cb3e93.ctv
中视经典,http://lzoq.serv00.net/daili/Smartv.php
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-16.m3u8
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-4.m3u8
中视新闻,https://stream1.freetv.fun/zhong-shi-xin-wen-4.m3u8
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-11.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-19.m3u8
翡翠台,https://stream1.freetv.fun/fei-cui-6.ctv
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-8.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-4.m3u8
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-15.m3u8
凤凰资讯,https://stream1.freetv.fun/5fb13a1ac8acfc0fbc7121568b65c78e0383919949c35c2a7f278a1ddd081e2b.m3u8
凤凰香港,https://stream1.freetv.fun/feng-huang-xiang-gang-11.ctv
澳门莲花,http://php.jdshipin.com:8880/amlh.php
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-2.m3u8
凤凰资讯,http://kkk.jjjj.jiduo.me/api.php
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-2.m3u8
民视新闻,http://150.138.77.132:10037/xxw/Smartv.php
TVBS欢乐,http://37.27.111.214:8080/live/24/hls.m3u8
凤凰中文,https://stream1.freetv.fun/2cd8b0d0e8b7bda9c76ae4e0d554782532055b48e88e266f743eaa21ca7e44e0.ctv
凤凰中文,https://stream1.freetv.fun/16bc0b847b4c0a5a1a8645fc01576a0a28d5d8667bad711c48e5d80d12d2d329.ctv
凤凰中文,https://cdn.iptv8k.top/dl/jrys.php
中视经典,http://150.138.77.132:10037/xxw/Smartv.php
翡翠台,http://r.jdshipin.com/qrfbg
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-2.m3u8
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-10.ctv
台视新闻,http://150.138.77.132:10037/xxw/Smartv.php
RTHK32,http://kkk.jjjj.jiduo.me/api.php
民视新闻,http://lzoq.serv00.net/daili/Smartv.php
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
