,rtp://239.5.1.136:5000
CCTV 3,http://goo.bkpcp.top/mg/cctv3
CCTV 3,http://121.199.57.64:5000/udp/239.77.0.169:5146
CCTV 3,http://121.199.57.64:5000/udp/239.77.0.175:5146
CCTV 3,rtp://239.69.1.122:10370
CCTV 3,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000302
CCTV 3 综艺,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225799/index.m3u8
CCTV 3 综艺,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8
CCTV 3 综艺,https://pi.0472.org/live/cctv3.m3u8
CCTV 3综艺 (1080p),http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV 4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV 4,http://goo.bkpcp.top/mg/cctv4
CCTV 4,http://121.199.57.64:5000/udp/239.77.0.78:5146
CCTV 4,rtp://239.69.1.138:10466
CCTV 4,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000342
CCTV 4 中文国际,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000485/index.m3u8
CCTV 4 中文国际,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8
CCTV 4 国际,https://pi.0472.org/live/cctv4.m3u8
CCTV 6,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV 6,http://goo.bkpcp.top/mg/cctv6
CCTV 6,http://121.199.57.64:5000/udp/239.77.0.171:5146
CCTV 6,http://121.199.57.64:5000/udp/239.77.0.178:5146
CCTV 6,rtp://239.69.1.124:10382
CCTV 6,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000305
CCTV 6 电影,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/1.m3u8
CCTV 6 电影,https://pi.0472.org/live/cctv6.m3u8
CCTV 6电影 (1080p),http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV 7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV 7,http://goo.bkpcp.top/mg/cctv7
CCTV 7,http://121.199.57.64:5000/udp/239.77.1.167:5146
CCTV 7,http://121.199.57.64:5000/udp/239.77.0.138:5146
CCTV 7,rtp://239.69.1.103:10256
CCTV 7,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000290
CCTV 7 国防军事,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000380/index.m3u8
CCTV 7 国防军事,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010215/1.m3u8
CCTV 7 国防军事,https://pi.0472.org/live/cctv7.m3u8
CCTV 7国防军事 (1080p),http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV 8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV 8,http://goo.bkpcp.top/mg/cctv8
CCTV 8,http://121.199.57.64:5000/udp/239.77.0.172:5146
CCTV 8,http://121.199.57.64:5000/udp/239.77.0.181:5146
CCTV 8,rtp://239.69.1.125:10388
CCTV 8,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000307
CCTV 8 电视剧,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/1.m3u8
CCTV 8 电视剧,https://pi.0472.org/live/cctv8.m3u8
CCTV 8电视剧 (1080p),http://39.134.115.163:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV 9,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV 9,http://goo.bkpcp.top/mg/cctv9
CCTV 9,http://121.199.57.64:5000/udp/239.77.1.168:5146
CCTV 9,http://121.199.57.64:5000/udp/239.77.0.135:5146
CCTV 9,rtp://239.69.1.104:10262
CCTV 9,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000294
CCTV 9 纪录,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000373/index.m3u8
CCTV 9 纪录,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010052/1.m3u8
CCTV 9 记录,https://pi.0472.org/live/cctv9.m3u8
CCTV 9纪录 (1080p),http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV CCTV台球,rtp://239.69.1.98:10224
CCTV Entertainment,https://hls-gateway.vpstv.net/streams/709527.m3u8
CCTV R,https://p.ggiptv.com/v/4k.m3u8
CCTV 世界地理,http://120.76.248.139/live/bfgd/4200000177.m3u8
CCTV 世界地理,rtp://239.69.1.91:10186
CCTV 兵器科技,rtp://239.69.1.79:10114
CCTV 女性时尚,http://120.76.248.139/live/bfgd/4200000176.m3u8
CCTV 怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8
CCTV 第一剧场,rtp://239.69.1.74:10084
CCTV 风云足球,http://120.76.248.139/live/bfgd/4200000225.m3u8
CCTV 风云足球,rtp://239.69.1.81:10126
CCTV 高尔夫网球,rtp://239.69.1.83:10138
CCTV01 北电,http://115.171.80.176:8888/udp/225.1.8.101:8080
CCTV02 北电,http://115.171.80.176:8888/udp/225.1.8.102:8004
CCTV03 北电,http://115.171.80.176:8888/udp/225.1.8.92:8000
CCTV04 北电,http://115.171.80.176:8888/udp/225.1.8.104:8216
CCTV05 北电,http://115.171.80.176:8888/udp/225.1.8.93:8000
CCTV06 北电,http://115.171.80.176:8888/udp/225.1.8.90:8000
CCTV07 北电,http://115.171.80.176:8888/udp/225.1.8.107:8024
CCTV08 北电,http://115.171.80.176:8888/udp/225.1.8.91:8000
CCTV09 北电,http://115.171.80.176:8888/udp/225.1.8.109:8032
